,lsoa_code,lsoa_name,pop,centroid_id,latitude,longitude
164,E01000164,Barnet 022D,1802,24057,51.60418958,-0.149610175
165,E01000165,Barnet 022E,1863,24058,51.60978189,-0.15024585199999999
166,E01000166,Barnet 003A,1619,24055,51.6533012,-0.159618961
167,E01000167,Barnet 002A,1304,24056,51.65409613,-0.166442095
168,E01000168,Barnet 003B,1569,24062,51.64911663,-0.155612844
169,E01000169,Barnet 003C,1640,24064,51.6503922,-0.164802535
170,E01000170,Barnet 006A,1873,21545,51.6457143,-0.165398082
171,E01000171,Barnet 006B,2421,21546,51.64789942,-0.16953518399999998
172,E01000172,Barnet 003D,1813,21543,51.6438805,-0.15215363199999998
173,E01000173,Barnet 006C,1770,21544,51.64216643,-0.15846611300000002
174,E01000174,Barnet 006D,1972,21541,51.64174277,-0.16525841800000002
175,E01000175,Barnet 006E,1499,21542,51.63767936,-0.162683948
176,E01000176,Barnet 027A,1681,21539,51.59583131,-0.178914378
177,E01000177,Barnet 029A,1807,21540,51.59304265,-0.172005822
178,E01000178,Barnet 027B,1806,21547,51.59329082,-0.16440475
179,E01000179,Barnet 029B,1826,21548,51.59471823,-0.176395235
180,E01000180,Barnet 029C,1756,21200,51.58986933,-0.17038300899999997
181,E01000181,Barnet 029D,1831,21198,51.591148,-0.163426581
182,E01000182,Barnet 029E,1946,21196,51.58855661,-0.162366239
183,E01000183,Barnet 033A,1658,21194,51.58991851,-0.176564718
184,E01000184,Barnet 027C,1756,21192,51.60110607,-0.17095484100000002
185,E01000185,Barnet 029F,1505,21190,51.59583073,-0.17244046600000001
186,E01000186,Barnet 014A,1734,21188,51.62347294,-0.27554989399999996
187,E01000187,Barnet 014B,1744,21186,51.62647482,-0.272548423
188,E01000188,Barnet 014C,1577,21204,51.62644385,-0.279671253
189,E01000189,Barnet 014D,2278,21202,51.62065144,-0.288555901
190,E01000190,Barnet 014E,1757,23682,51.61890715,-0.284562072
191,E01000191,Barnet 014F,1588,23680,51.62026685,-0.279012793
192,E01000192,Barnet 018A,2169,23678,51.61623164,-0.273961904
193,E01000193,Barnet 018B,2098,23676,51.61457341,-0.279690124
194,E01000194,Barnet 018C,2064,23674,51.61036345,-0.273610933
195,E01000195,Barnet 013A,2004,23672,51.63034179,-0.268549385
196,E01000196,Barnet 028A,2332,23670,51.59774912,-0.196443497
197,E01000197,Barnet 023A,2064,23668,51.59776403,-0.187808848
198,E01000198,Barnet 025A,2247,23686,51.59582569,-0.214124951
199,E01000199,Barnet 025B,1643,23684,51.59945598,-0.20785441600000001
200,E01000200,Barnet 028B,2092,20355,51.59616764,-0.203763355
201,E01000201,Barnet 028C,1680,20357,51.59154669,-0.204931384
202,E01000202,Barnet 028D,1844,20351,51.5943351,-0.196424569
203,E01000203,Barnet 028E,2034,20353,51.59241091,-0.192280709
204,E01000204,Barnet 025C,1906,20347,51.60191578,-0.200087131
205,E01000205,Barnet 035A,1722,20349,51.5872959,-0.18920503100000002
206,E01000206,Barnet 033B,1580,21303,51.57434367,-0.17789896100000002
207,E01000207,Barnet 033C,1659,20345,51.58292747,-0.183878166
208,E01000208,Barnet 033D,1704,20359,51.58584981,-0.170571788
209,E01000209,Barnet 035B,1508,20361,51.58380995,-0.19483276600000002
210,E01000210,Barnet 033E,1643,23794,51.58783181,-0.181213243
211,E01000211,Barnet 035C,2268,23796,51.585505600000005,-0.198538524
212,E01000212,Barnet 035D,1514,23790,51.57829256,-0.19397863699999998
213,E01000213,Barnet 033F,1408,23792,51.58069438,-0.178948988
214,E01000214,Barnet 038E,1909,23786,51.57270965,-0.18952555399999998
215,E01000215,Barnet 037B,2330,23788,51.58040081,-0.20889838300000002
216,E01000216,Barnet 035E,2141,23782,51.57913867,-0.20077148600000003
217,E01000217,Barnet 035F,1860,23784,51.5835483,-0.202735921
218,E01000218,Barnet 037C,2122,23798,51.57780978,-0.205374728
219,E01000219,Barnet 037D,2109,23800,51.57590187,-0.21210107
220,E01000220,Barnet 037E,2132,20789,51.57562991,-0.207728478
221,E01000221,Barnet 039B,1317,20790,51.57273075,-0.21668581899999997
222,E01000222,Barnet 040C,1975,20787,51.5687281,-0.211804198
223,E01000223,Barnet 039C,1758,20788,51.56753371,-0.219627715
224,E01000224,Barnet 040D,1759,20785,51.56581887,-0.213005478
225,E01000225,Barnet 037F,2017,20786,51.58588089,-0.205789689
226,E01000226,Barnet 018D,1801,20783,51.61047429,-0.265731494
227,E01000227,Barnet 018E,1954,20784,51.61463078,-0.266594028
228,E01000228,Barnet 007A,1517,20791,51.62665203,-0.24960609
229,E01000229,Barnet 013B,1757,20794,51.62499304,-0.264994243
230,E01000230,Barnet 013C,2034,23243,51.6236641,-0.268825336
231,E01000231,Barnet 013D,1987,23244,51.62439997,-0.25774968800000003
232,E01000232,Barnet 013E,1983,23241,51.61969986,-0.26128498699999997
233,E01000233,Barnet 013F,1905,23242,51.61457019,-0.260640391
234,E01000234,Barnet 021D,1886,23239,51.61552194,-0.25546102600000004
235,E01000235,Barnet 021E,1939,23240,51.61102058,-0.254177382
236,E01000236,Barnet 034A,2096,23237,51.58471887,-0.213638932
237,E01000237,Barnet 032A,2233,23238,51.58513794,-0.22502299399999998
238,E01000238,Barnet 034B,2085,23245,51.58851262,-0.213628381
239,E01000239,Barnet 031A,2079,23246,51.59122803,-0.23437965
240,E01000240,Barnet 031B,1754,19875,51.59811613,-0.232109017
241,E01000241,Barnet 031C,1789,19876,51.59477512,-0.22535975600000002
242,E01000242,Barnet 032B,1662,19873,51.59241345,-0.216249613
243,E01000243,Barnet 032C,2070,19874,51.59007343,-0.22116349
244,E01000244,Barnet 032D,1639,19871,51.59000509,-0.226118044
245,E01000245,Barnet 032E,2206,19872,51.58719545,-0.22060362600000002
246,E01000246,Barnet 002B,1527,19869,51.65345205,-0.187061216
247,E01000247,Barnet 002C,1747,19870,51.65424327,-0.18041737800000002
248,E01000248,Barnet 001A,1767,19877,51.65515911,-0.20670524
249,E01000249,Barnet 001B,1512,19878,51.65667613,-0.211879247
250,E01000250,Barnet 001C,2793,22881,51.65470687,-0.19843439699999998
251,E01000251,Barnet 002D,2123,22882,51.65053846,-0.178578548
252,E01000252,Barnet 002E,1694,22879,51.64979315,-0.18515372800000002
253,E01000253,Barnet 007B,1735,22880,51.64961301,-0.228868463
254,E01000254,Barnet 001D,1625,22877,51.65921743,-0.204867391
255,E01000255,Barnet 017A,1473,22878,51.61092076,-0.224843102
256,E01000256,Barnet 016A,1878,24153,51.60899487,-0.23474465600000002
257,E01000257,Barnet 017B,1990,22876,51.60871204,-0.210442077
258,E01000258,Barnet 016B,1915,22883,51.61486646,-0.242261767
259,E01000259,Barnet 025D,2785,22886,51.60665015,-0.213944649
260,E01000260,Barnet 025E,2249,19497,51.60524923,-0.23606856699999998
261,E01000261,Barnet 017C,1749,19498,51.62099803,-0.23827231
262,E01000262,Barnet 017D,3286,19495,51.61297784,-0.21451074899999997
263,E01000263,Barnet 016C,1580,19496,51.62124745,-0.246662457
264,E01000264,Barnet 016D,1830,24088,51.61815644,-0.250646159
265,E01000265,Barnet 011A,2134,19494,51.62408365,-0.157186938
266,E01000266,Barnet 011B,1452,19492,51.62390827,-0.16390585800000002
267,E01000267,Barnet 005A,1597,19493,51.64131504,-0.17260981399999997
268,E01000268,Barnet 005B,2303,19499,51.64764533,-0.17914021
269,E01000269,Barnet 005C,1437,19500,51.64315112,-0.183733445
270,E01000270,Barnet 005D,1502,20254,51.64521718,-0.17544849899999998
271,E01000271,Barnet 008A,1582,20255,51.63857568,-0.17728792300000001
272,E01000272,Barnet 008B,1458,24143,51.63455541,-0.16760323300000002
273,E01000273,Barnet 008C,1650,20253,51.63156286,-0.17100345100000003
274,E01000274,Barnet 011C,2023,20251,51.627814799999996,-0.160672275
275,E01000275,Barnet 012A,1748,20252,51.62059545,-0.186157474
276,E01000276,Barnet 020A,1582,20249,51.61823608,-0.194641017
277,E01000277,Barnet 012B,2155,20250,51.61829805,-0.183049872
278,E01000278,Barnet 020B,1667,20256,51.61414636,-0.194546325
279,E01000279,Barnet 007C,1440,20257,51.63259478,-0.199163934
280,E01000280,Barnet 007D,1311,20358,51.6312928,-0.18545910699999998
281,E01000281,Barnet 008D,1607,20356,51.62823348,-0.172639232
282,E01000282,Barnet 008E,1834,20354,51.62853919,-0.17952465
283,E01000283,Barnet 012C,1463,20352,51.62484306,-0.18915168300000001
284,E01000284,Barnet 012D,1804,20350,51.62458976,-0.176885341
285,E01000285,Barnet 004A,1387,20348,51.64543333,-0.210152008
286,E01000286,Barnet 007E,1723,20346,51.64786051,-0.218814545
287,E01000287,Barnet 004B,1582,21304,51.64436208,-0.214708654
288,E01000288,Barnet 004C,1567,20362,51.64404697,-0.188950603
289,E01000289,Barnet 004D,1652,20360,51.64457183,-0.19640553600000002
290,E01000290,Barnet 007F,1613,23797,51.64567717,-0.225038757
291,E01000291,Barnet 004E,1580,23795,51.64427031,-0.201571482
292,E01000292,Barnet 001E,1629,23793,51.64933471,-0.20413858199999999
293,E01000293,Barnet 001F,1768,23791,51.64902301,-0.19872122
294,E01000294,Barnet 004F,1857,23789,51.65063752,-0.209683525
295,E01000295,Barnet 023B,1769,23787,51.60195798,-0.188342934
296,E01000296,Barnet 023C,1859,23785,51.60436084,-0.193031645
297,E01000297,Barnet 027D,1554,23783,51.59938709,-0.181184636
298,E01000298,Barnet 023D,2007,23801,51.6048279,-0.18653952
299,E01000299,Barnet 019A,2283,23799,51.61391309,-0.17812451899999998
300,E01000300,Barnet 019B,1763,19485,51.61458431,-0.18351192300000002
301,E01000301,Barnet 020C,1628,19487,51.61117996,-0.188521153
302,E01000302,Barnet 019C,2060,19481,51.61037292,-0.183034375
303,E01000303,Barnet 020D,1778,19483,51.60860078,-0.192886476
304,E01000304,Barnet 020E,1669,19477,51.60581164,-0.197485233
305,E01000305,Barnet 036B,1686,19479,51.57584097,-0.239337523
306,E01000306,Barnet 036C,1695,19473,51.57866683,-0.23471734100000002
307,E01000307,Barnet 039D,1731,19475,51.57544003,-0.23092390699999998
308,E01000308,Barnet 036D,2180,19488,51.57911846,-0.243088337
309,E01000309,Barnet 031D,2033,19490,51.58475143,-0.23462998399999999
310,E01000310,Barnet 034C,2240,20241,51.57941413,-0.226054571
311,E01000311,Barnet 034D,1903,20243,51.58124454,-0.216666948
312,E01000312,Barnet 036E,1816,20237,51.58186765,-0.25122838
313,E01000313,Barnet 036F,2285,20239,51.57985487,-0.239994017
314,E01000314,Barnet 032F,2131,20233,51.58162373,-0.23036886899999998
315,E01000315,Barnet 022F,1744,20235,51.60923425,-0.164827408
316,E01000316,Barnet 027E,2528,20230,51.60403938,-0.17565879399999998
317,E01000317,Barnet 019D,1821,20231,51.60793784,-0.180583857
318,E01000318,Barnet 019E,1896,20245,51.60974914,-0.17207291100000002
319,E01000319,Barnet 027F,1577,20247,51.60256004,-0.179342538
320,E01000320,Barnet 011D,1910,23721,51.61992678,-0.17225257300000002
321,E01000321,Barnet 012E,1903,23722,51.61973348,-0.178084828
322,E01000322,Barnet 011E,1864,23719,51.61624609,-0.17023756399999998
323,E01000323,Barnet 019F,2483,23720,51.61399508,-0.17406768
324,E01000324,Barnet 015F,1851,23717,51.61384969,-0.163703041
325,E01033572,Barnet 030E,4048,24131,51.58977921,-0.24528304199999998
326,E01033573,Barnet 030F,3303,21693,51.59615909,-0.24226965600000003
327,E01000325,Bexley 014A,1643,23718,51.46223996,0.163562559
328,E01000326,Bexley 014B,1360,23715,51.46335837,0.175087484
329,E01000327,Bexley 017A,1654,23716,51.46266846,0.155363993
330,E01000328,Bexley 017B,1478,23723,51.45666205,0.16528030400000002
331,E01000329,Bexley 017C,1649,23724,51.45632065,0.15606050900000001
332,E01000330,Bexley 017D,1622,21887,51.45904392,0.152234714
333,E01000331,Bexley 017E,1749,21888,51.45277679,0.162273353
334,E01000332,Bexley 005A,1595,21885,51.48535536,0.150820004
335,E01000333,Bexley 003A,1922,21886,51.48200206,0.14563928199999998
336,E01000334,Bexley 006A,1666,21883,51.48203134,0.139591413
337,E01000335,Bexley 003B,2740,21884,51.492981,0.153096062
338,E01000336,Bexley 003C,2135,21881,51.49047034,0.146096163
339,E01000337,Bexley 003D,1786,21882,51.488026299999994,0.143027041
340,E01000338,Bexley 003E,1998,21889,51.48801961,0.147650416
341,E01000339,Bexley 025A,1572,21890,51.43891064,0.085126108
342,E01000340,Bexley 018A,1482,23213,51.45271132,0.089319039
343,E01000341,Bexley 022A,1563,23214,51.44922446,0.094332875
344,E01000342,Bexley 022B,1620,23211,51.44577268,0.09112982300000001
345,E01000343,Bexley 022C,1565,23212,51.44819712,0.099647499
346,E01000344,Bexley 025B,1587,23209,51.44203373,0.08732417
347,E01000345,Bexley 022D,1326,23210,51.44230699,0.0942857
348,E01000346,Bexley 021A,1641,23207,51.44565233,0.109941413
349,E01000347,Bexley 021B,1482,23208,51.44812342,0.10636749300000001
350,E01000348,Bexley 020A,1539,23215,51.44538138,0.12598420300000002
351,E01000349,Bexley 020B,1638,23217,51.44678468,0.13461167699999999
352,E01000350,Bexley 021C,1526,21240,51.4449086,0.103557621
353,E01000351,Bexley 024A,1631,21241,51.44377723,0.117268999
354,E01000352,Bexley 021D,1722,21238,51.44911108,0.11521518
355,E01000353,Bexley 011A,1682,21239,51.46890301,0.14372065
356,E01000354,Bexley 011B,1514,21236,51.47029677,0.134971803
357,E01000355,Bexley 011C,1583,21237,51.46828248,0.15112112800000002
358,E01000356,Bexley 009A,1580,21234,51.46640918,0.132035605
359,E01000357,Bexley 009B,1467,21235,51.46725597,0.12657178800000002
360,E01000358,Bexley 011D,1702,21242,51.46568511,0.139300865
361,E01000359,Bexley 009C,1238,21245,51.47299928,0.130908194
362,E01000360,Bexley 015A,1951,22854,51.457493299999996,0.137350305
363,E01000361,Bexley 020C,1621,22855,51.45374779,0.13076677
364,E01000362,Bexley 015B,1651,22852,51.45378186,0.145497401
365,E01000363,Bexley 020D,1580,22853,51.45248242,0.135766814
366,E01000364,Bexley 023A,1687,22850,51.45025537,0.148815125
367,E01000365,Bexley 015C,1836,22851,51.46129957,0.145846326
368,E01000366,Bexley 015D,1718,22848,51.4611107,0.134825404
369,E01000367,Bexley 010A,2196,22849,51.47200335,0.17667478
370,E01000368,Bexley 010B,1654,22856,51.46822018,0.176024075
371,E01000369,Bexley 014C,1727,22857,51.47019483,0.16701348900000001
372,E01000370,Bexley 014D,1605,20762,51.46762888,0.160925584
373,E01000371,Bexley 014E,1615,20763,51.46619263,0.17004183399999998
374,E01000372,Bexley 010C,1618,20760,51.474230600000006,0.17033457300000002
375,E01000373,Bexley 008A,1433,20761,51.473783700000006,0.17828975800000002
376,E01000374,Bexley 019A,1667,20758,51.45778985,0.191085645
377,E01000375,Bexley 019B,2162,20759,51.44926296,0.187358542
378,E01000376,Bexley 019C,1624,20756,51.45536431,0.18802403199999998
379,E01000377,Bexley 019D,1478,20757,51.45508729,0.179968668
380,E01000378,Bexley 019E,3001,20764,51.45090375,0.175166464
381,E01000379,Bexley 019F,1816,20765,51.44616689,0.18108079300000002
382,E01000380,Bexley 010D,1745,24087,51.46232244,0.184912868
383,E01000381,Bexley 028A,1716,19486,51.4322917,0.12987737300000002
384,E01000382,Bexley 027A,1541,19484,51.43037082,0.117650403
385,E01000383,Bexley 028B,1527,19482,51.42093724,0.131907059
